Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.443620,54.419494,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.610871,54.755217,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.300765,54.600539,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.527608,54.608010,On or near Shore Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.691210,54.446455,On or near The Square,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.944568,54.684268,On or near Fairhill Green,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.956116,54.674184,On or near Glebe Road West,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.007184,54.748225,On or near Grange Valley Green,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.275819,54.868688,On or near Thomas Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.460446,54.414480,On or near Ardress Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.708940,54.316006,On or near Ballymote Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.962153,54.600088,On or near Springfield Crescent,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.905309,54.563645,On or near Glencregagh Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.265745,54.850074,On or near Kincora,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.633599,54.471361,On or near Roundabout,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.327253,54.747934,On or near Kemmilhill Heights,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.935351,54.629392,On or near Mount Carmel,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.681040,54.639909,On or near Brook Lane,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.948500,54.617387,On or near Oldpark Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.667165,54.919449,On or near Garvagh Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.283776,54.866546,On or near Clarence Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.681478,54.641751,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.924110,54.658815,On or near Glenmount Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.609375,54.750367,On or near Greenvale Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.339619,54.176616,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.683137,54.638449,On or near Lord Warden'S Crescent,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.643856,54.347106,On or near Castle Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.083114,54.528812,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.471934,54.783656,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.957155,54.587713,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.977330,54.590801,On or near Whiterock Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.050765,54.506444,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928374,54.601518,On or near Donegall Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.702325,54.538023,On or near Ardnasaggart Terrace,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.942245,54.628117,On or near Salisbury Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.935672,54.612955,On or near Hallidays Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.515408,55.068083,On or near Meeting House Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.330025,54.997915,On or near Westland Terrace,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.474058,54.822328,On or near Koram Square,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.860662,54.605111,On or near Circular Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.903978,54.684381,On or near Loughgall Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.928144,54.639548,On or near Downview Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.999544,54.582060,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.065592,54.524310,On or near Brambling Close,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.939954,54.581221,On or near Park Lane,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930421,54.609362,On or near Victoria Parade,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.355693,54.473808,On or near Silverwood Green,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.648724,54.364518,On or near Drumman Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930069,54.614782,On or near Cosgrave Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.005688,54.550328,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.761124,54.398199,On or near Lislea Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.467733,54.828893,On or near Railway Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.321576,54.997635,On or near William Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.335317,54.463484,On or near Church Place,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.276227,54.869332,On or near Thomas Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.900126,54.592271,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.665681,54.339299,On or near Greenpark Manor,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.417175,54.423292,On or near Queens Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.071385,54.515454,On or near Causeway End Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.639946,54.345747,On or near High Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.274676,54.350127,On or near Scarva Walk,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.454610,54.823589,On or near Evish Grove,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.204649,54.716388,On or near Donegore Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.204649,54.716388,On or near Donegore Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.926981,54.655396,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.883460,54.595880,On or near Evelyn Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.911138,54.656094,On or near Merville Garden Village,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.714783,54.314841,On or near Bishops Brae Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.944168,55.046524,On or near Rathbeg Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.955366,54.595940,On or near Springfield Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.320265,55.009574,On or near Richmond Crescent,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.848216,54.589319,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.025042,54.575210,On or near Suffolk Rise,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.947040,54.624838,On or near Westland Way,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.942343,54.623420,On or near Cedar Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.280561,54.865971,On or near Cullybackey Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.212894,54.712395,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.936466,54.586580,On or near Claremont Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.341172,54.987071,On or near Old City Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.951326,54.578701,On or near Lisburn Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.321790,54.998831,On or near Sackville Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.908292,54.591442,On or near Ravenhill Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.366300,54.379892,On or near Hillside,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.677298,55.122285,On or near Laurel Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.008579,54.061990,On or near Knockchree Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.813146,54.713252,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.935169,54.588355,On or near Lisburn Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930334,54.599189,On or near Castle Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.331698,54.179364,On or near Talbot Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.334844,54.464133,On or near Church Place,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.869154,54.594847,On or near Houston Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.774562,54.506309,On or near Charlemont Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.944349,54.585483,On or near Dunluce Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.940120,54.622052,On or near Marsden Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.329301,54.464641,On or near Castle Lane,,,Anti-social behaviour,,
